Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
GigaScience_Peptide_Annotation_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1790	https://workflowhub.eu/workflows/1790?version=1		gtn, galaxy, name:neoantigen	2025-07-07	2025-07-07	1	1	11.0	"regexColumn1, pep_pointer, converting pipes to columns
Convert characters1, query_tabular, converting colons to columns
Convert characters1, tab2fasta"			GPL-3.0-or-later		Galaxy Training Network	True	False
Workflow 'Biodiversity data exploration tuto'	WorkflowHub	1693	https://workflowhub.eu/workflows/1693?version=1		ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	6.0	ecology_homogeneity_normality, ecology_stat_presence_abs, ecology_link_between_var, ecology_presence_abs_abund, tool_anonymization, ecology_beta_diversity			CC-BY-4.0		Galaxy Training Network	True	False
Metagenomics assembly tutorial workflow	WorkflowHub	1634	https://workflowhub.eu/workflows/1634?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	8.0	collection_column_join, bowtie2, megahit_contig2fastg, bandage_info, bandage_image, metaspades, quast, megahit	Visualisation, Sequence assembly validation, Read mapping, Genome assembly, Sequence assembly visualisation		CC-BY-4.0		Galaxy Training Network	True	False
Bacterial Genome Annotation	WorkflowHub	1513	https://workflowhub.eu/workflows/1513?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	10.0	isescan, Grouping1, bakta, integron_finder, tp_replace_in_column, tp_tail_tool, jbrowse, plasmidfinder, tbl2gff3	Scaffolding, Multilocus sequence typing, Structural variation detection, Sequence motif recognition, Genome annotation, Genome visualisation, Genome assembly, Protein feature detection, Nucleic acid feature detection		AGPL-3.0-or-later		Galaxy Training Network	False	False
Genome Annotation with Prokka	WorkflowHub	1497	https://workflowhub.eu/workflows/1497?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	2.0	jbrowse, prokka	Genome visualisation, Coding region prediction, Genome annotation, Gene prediction		GPL-3.0-or-later		Galaxy Training Network	True	False
"WGS Part In ""Analyses Of Metagenomics Data - The Global Picture"""	WorkflowHub	1472	https://workflowhub.eu/workflows/1472?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	7.0	humann2, taxonomy_krona_chart, metaphlan2krona, humann2_renorm_table, humann2_regroup_table, metaphlan2	Visualisation		CC-BY-4.0		Galaxy Training Network	False	False
GigaScience_Peptide_Annotation_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1457	https://workflowhub.eu/workflows/1457?version=1		gtn, galaxy, name:neoantigen	2025-06-02	2025-06-02	1	1	11.0	"regexColumn1, pep_pointer, converting pipes to columns
Convert characters1, query_tabular, converting colons to columns
Convert characters1, tab2fasta"			GPL-3.0-or-later		Galaxy Training Network	False	False
Secreted Proteins Via GO Annotation And WoLF PSORT For shCTSB Paper	WorkflowHub	1417	https://workflowhub.eu/workflows/1417?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	28.0	"wolf_psort, GO:0005764 ""lysosome""
get_subontology_from, GO:0005887 ""integral component of plasma membrane""
get_subontology_from, Extracts uniprot accessions from all proteins in the input list that are predicted by WolfPsort to be lysosomal and/or extracellular.
Convert characters1, GO:0005576 ""extracellular region""
term_id_vs_term_name, GO:0005764 ""lysosome""
term_id_vs_term_name, filters out all proteins in the input protein list of interest that are annotated as ""extracellular region"" and ""lysosome"" and ""plasma membrane"" excluding ""extracellular organelle"" and ""cytoplasmic side of plasma membrane""
comp1, tp_sorted_uniq, GO:0009986 ""cell surface""
get_subontology_from, GO:0005576 ""extracellular region""
get_subontology_from, GO:0043230 ""extracellular organelle""
term_id_vs_term_name, bg_uniq, tp_cut_tool, Removes comment lines at the head of the Uniprot Go database file.
Grep1, Filters all proteins that are predicted to reside extracellularly.
Filter1, tp_easyjoin_tool, GO:0009986 ""cell surface""
term_id_vs_term_name, uniprot, Filters all proteins that are predicted to reside in lysosomes.
Filter1, GO:0005887 ""integral component of plasma membrane""
term_id_vs_term_name, GO:0043230 ""extracellular organelle""
get_subontology_from"			CC-BY-4.0		Galaxy Training Network	False	False
'Proteome Annotation'	WorkflowHub	1414	https://workflowhub.eu/workflows/1414?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	9.0	Jvenn, IDconverter, rna_abbased_data, MQoutputfilter, reactome_analysis, cluter_profiler, retrieve_from_hpa			CC-BY-4.0		Galaxy Training Network	False	False
ProteoRE ProteomeAnnotation Tutorial (release 2.0)	WorkflowHub	1411	https://workflowhub.eu/workflows/1411?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	9.0	Jvenn, IDconverter, rna_abbased_data, MQoutputfilter, reactome_analysis, cluter_profiler, retrieve_from_hpa			CC-BY-4.0		Galaxy Training Network	False	False
ONT -- Metagenomics-Kraken2-Krona	WorkflowHub	53	https://workflowhub.eu/workflows/53?version=1	Milad Miladi	ont	2020-08-05	2026-05-13	1	1	4.0	kraken2, datamash_reverse, taxonomy_krona_chart, tp_replace_in_line	Visualisation, Taxonomic classification		MIT		NanoGalaxy	True	False
Biodiversity data exploration tutorial	WorkflowHub	656	https://workflowhub.eu/workflows/656?version=1	Yvan Le Bras, Coline Royaux, Marie Jossé	biodiversity, ecology	2023-11-09	2026-05-13	1	1	6.0	ecology_homogeneity_normality, ecology_stat_presence_abs, ecology_link_between_var, ecology_presence_abs_abund, tool_anonymization, ecology_beta_diversity		Biodiversity, Ecology	CC-BY-4.0	10.48546/workflowhub.workflow.656.1	PNDB	True	False
